n_estimators,learning_rate,max_depth,cv_mae,cv_std
40,0.05,2,75.64648837622886,4.544146363877287
40,0.05,3,74.46748748139318,4.293386663232451
40,0.1,2,74.74571031466071,4.456429278228647
40,0.1,3,74.35485330909482,4.143011159819832
60,0.05,2,75.01825268661878,4.353710694692404
60,0.05,3,73.64411620989583,4.380811253628034
60,0.1,2,74.17394770145746,4.496834848113914
60,0.1,3,74.26981497361753,4.563728352769156
80,0.05,2,74.52182205040177,4.475370451055711
80,0.05,3,73.04111548787937,4.666715651927724
80,0.1,2,73.92230821011795,4.791444357642335
80,0.1,3,73.98263026922493,5.2846766871006485
